worker name,job title,skills,rating,location
Natalina Doyle,butcher cook,prepare cuts of meat,0,807 Mcbride Street
Charmaine Summerrell,Truck ," skill, excellent hearing and vision",1,231 Service Way
Kyrstin Gianasi,tester,for finding the bugs in the code,2,859 Golf View Point
Reyna Batcheldor,web developer,design and build website,4,63 Dottie Plaza
Alidia Instrell,cleaning worker,cleaning,2,97323 Grayhawk Park
Renard Grishelyov,Locksmith,lock and security mechanism,5,418 Caliangt Plaza
Chelsea Commuzzo,Welding,Extensive knowledge of various welding techniques,4,73598 Marcy Circle
Eryn Biaggi,washing machine , all types of washing machines,3,413 Bay Crossing
Donnamarie Matteotti,school bus Truck ,"carefullness,skill, excellent hearing and vision",3,27 Fairview Circle
Brianne Bend,architect,design new buildings,1,487 Bellgrove Road
Nolly Vasic,care taker,taking care of old people and small children,0,25 Harper Pass
Adolph Deport,Housekeeper,adapt in the household they work in,5,9 Caliangt Plaza
Jon Birkenhead,accountant ,accounting ,2,2 Mcguire Avenue
Cecilia Bettam,app developer,design and build apps,3,721 Florence Center
Miller Althorpe,Mechanic,excellent knowledge of motor technology,5,095 Main Lane
Bekki Jobin,web developer,design and build website,2,83303 Butternut Pass
Westbrook Alster,cleaning worker,cleaning,0,9317 Amoth Pass
Tate Wartnaby,Welding,Extensive knowledge of various welding techniques,0,59821 Scott Parkway
Pietro Parnham,fish cook,expert in fish/lobster cooking,0,45 Hermina Avenue
Justin Bowhey,Mechanic,excellent knowledge of motor technology,5,5 Graedel Park
Andrey Donson,Mechanic,excellent knowledge of motor technology,2,6730 Ilene Drive
Broddie Combes,Truck ," skill, excellent hearing and vision",4,306 Lien Center
Caitlin Messager,care taker,taking care of old people and small children,1,73 Express Trail
Geno Cristoforetti,barber,hair cutting,2,98 Fremont Park
Patrizius Thyer,Mechanic,excellent knowledge of motor technology,2,40 Elmside Alley
Ester Disman,painter,"painting houses,buildings ",4,48786 Fairview Court
Elita Christofe,Mechanic,excellent knowledge of motor technology,5,87 Waxwing Lane
Baillie Fiander,app developer,design and build apps,2,5095 Messerschmidt Center
Yanaton Aikenhead,Welding,Extensive knowledge of various welding techniques,2,328 Talmadge Hill
Christel MacVaugh,shop worker,working in various shops,5,92488 Hovde Center
Peyter Redbourn,Housekeeper,adapt in the household they work in,2,88302 Delaware Plaza
Darcy Castrillo,cleaning worker,cleaning,1,85 Doe Crossing Road
Rurik Turbefield,washing machine , all types of washing machines,0,59655 Loomis Court
Antonetta Hindes,Housekeeper,adapt in the household they work in,2,36562 Meadow Valley Junction
Ketti Ligertwood,Plumber,install and repair pipes,2,583 Welch Place
Erminia Doghartie,accountant ,accounting ,0,3 Packers Street
Devland Flisher,tester,for finding the bugs in the code,3,1713 Ruskin Trail
Jase Georgievski,architect,design new buildings,1,29505 Mockingbird Center
Piggy Willison,Welding,Extensive knowledge of various welding techniques,3,8 5th Terrace
Charlie Stevenson,broiler cook,"grilled, boiled,roasted items",4,563 Orin Point
Hector Keele,Housekeeper,adapt in the household they work in,4,1 8th Alley
Karie Corton,web developer,design and build website,1,025 Merrick Avenue
Cal Scurman,washing machine , all types of washing machines,3,89 Luster Alley
Lorine Bruckman,Mechanic,excellent knowledge of motor technology,4,354 Nancy Street
Shannon Stenbridge,Mechanic,excellent knowledge of motor technology,2,4326 Dottie Hill
Ronda Hayzer,carpenter, furniture making ,2,90294 Lakeland Point
Granger Trulock,Housekeeper,adapt in the household they work in,4,720 Pearson Drive
Caralie Simmell,Housekeeper,adapt in the household they work in,1,13 Prairie Rose Crossing
Skipper Greenham,Welding,Extensive knowledge of various welding techniques,2,95814 Almo Park
Marje Beedham,social worker,who help people solve and cope with problems,4,09940 8th Lane
Kele Helsdon,shop worker,working in various shops,3,58081 East Plaza
Malia Robilart,barber,hair cutting,1,4218 Dahle Junction
Chickie Impy,architect,design new buildings,3,96 Butterfield Place
Elnora Longmaid,electrician, solve all electrical issues ,2,44 Hintze Place
Evelin Kimbury,app developer,design and build apps,1,7 Graedel Court
Leonhard Frontczak,cleaning worker,cleaning,3,27 Sundown Center
Enrica Karchowski,tester,for finding the bugs in the code,0,57 Pine View Hill
Jessika Bangs,web developer,design and build website,3,632 Riverside Court
Costa Copestake,care taker,taking care of old people and small children,4,1959 Laurel Terrace
Tally Stibbs,Welding,Extensive knowledge of various welding techniques,4,20 Merry Center
Natalina Tures,Housekeeper,adapt in the household they work in,2,60922 Springs Alley
Meyer Poate,Plumber,install and repair pipes,1,07 Rutledge Place
Karoly Fetherstone,delivery boy ,provides cooked food to doorstep,1,36 Corry Circle
Graham Dregan,Housekeeper,adapt in the household they work in,3,9164 Stoughton Park
Rania Lamplough,Welding,Extensive knowledge of various welding techniques,3,264 Meadow Valley Avenue
Corrinne Wale,accountant ,accounting ,2,9148 Stang Crossing
Carole Currin,Truck ," skill, excellent hearing and vision",3,99715 Chive Alley
Velvet Roseveare,shop worker,working in various shops,4,6 Golden Leaf Way
Veradis Essery,Truck Driver,"Driving skill, excellent hearing and vision",1,2 Sycamore Circle
Elvin Kenningham,care taker,taking care of old people and small children,2,160 Washington Center
Nichole Peter,washing machine , all types of washing machines,2,54476 Rowland Point
Beverlie Olivera,Truck ," skill, excellent hearing and vision",1,88 Warbler Pass
Francoise Strippel,web developer,design and build website,0,832 Michigan Road
Zackariah Petrowsky,cleaning worker,cleaning,4,808 Pond Circle
Colas Gookey,barber,hair cutting,4,93 Chive Court
Randall Burbank,carpenter, furniture making ,1,85 Browning Junction
Dani Wyse,Plumber,install and repair pipes,5,25 La Follette Pass
Otis Peck,app developer,design and build apps,4,52255 Pawling Avenue
Suzie Ingilson,executive cook,heads the cooking department,5,640 Dennis Place
John Lowther,social worker,who help people solve and cope with problems,5,662 Clyde Gallagher Avenue
Stanislaw Rossander,cleaning worker,cleaning,2,4435 Rigney Terrace
Janeva Orehead,architect,design new buildings,0,153 Scofield Way
Darelle Demougeot,painter,"painting houses,buildings ",2,953 Sutherland Place
Leela Smitherham,Plumber,install and repair pipes,2,5847 Northport Terrace
Alexi Clemmen,shop worker,working in various shops,4,060 Shasta Plaza
Devondra Ruperto,Plumber,install and repair pipes,1,1998 Northwestern Point
Marius Wyley,accountant ,accounting ,0,1567 Transport Court
Marcella Milburn,Farmworker,maintain crops and tend to livestock,3,91 Talisman Avenue
Luelle Laughlin,tester,for finding the bugs in the code,0,0 Buhler Plaza
Brigg Garnett,washing machine , all types of washing machines,3,067 Tennyson Way
Benito Pittendreigh,architect,design new buildings,2,29206 Chive Circle
Garrik Ambrogiotti,cleaning worker,cleaning,5,8942 Fairview Street
Sydney Cordeix,app developer,design and build apps,4,59812 Coolidge Way
Kimmy Sherington,kitchen manager,handles cooking/kitchen,4,5783 Kings Trail
Mareah Greenshields,web developer,design and build website,5,7 Reindahl Hill
Edy Callaghan,shop worker,working in various shops,5,045 New Castle Alley
Hildegaard Julian,carpenter, furniture making ,1,91 Anhalt Plaza
Bordy Suttie,web developer,design and build website,5,90757 Warrior Alley
Helen Collis,accountant ,accounting ,0,11486 Mallard Pass
Tamar Dyshart,care taker,taking care of old people and small children,5,5 Sachtjen Road
Abraham Mechem,electrician, solve all electrical issues ,0,010 Schiller Pass
