Name,Job title,Skills,Location
Dana Eagger,cleaning worker,cleaning,Chãos
kaya  limited,accountant ,accounting ,Megion
Alec Lissett,architect,design new buildings,Bijelo Polje
Sibeal Hirtz,soup and sauce cook,all soups and sauce,Eisen
Michail Brennand,sweeper,cleaning and maintaining house,Buritis
Leonie Caccavari,beautician,facewash cleanup makeup parlour,Jiulonggang
Leann Castelyn,barber,hair cutting,Xinrong
Mathew Bautiste,care taker,taking care of old people and small children,Yarumal
Ken Macquire,accountant ,accounting ,Ararat
Verna Kroch,Locksmith,lock and security mechanism,Shimokizukuri
Daile Mutton,painter,"painting houses,buildings ",Mauloo
Alyda Shea,Locksmith,lock and security mechanism,Yanzhao
HCL Technologies Limited,app developer,design and build apps,Buffalo
Geoff Hullot,web developer,design and build website,Marilao
Patrizio Ruslinge,washing machine , all types of washing machines,Lere
Oswald Barense,Locksmith,lock and security mechanism,Omoa
Berkly Makin,sweeper,cleaning and maintaining house,Abaca
Barbabra Headings,cleaning worker,cleaning,Serra de Santa Marinha
Jody Cayet,shop worker,working in various shops,Penalva de Alva
Felizio Ennion,barber,hair cutting,Santa Teresa
Sinai global,Locksmith,lock and security mechanism,Gniechowice
premium,bus person,"serves the bread,butter,water",Nyandoma
Cody Gildea,Truck Driver,"Driving skill, excellent hearing and vision",Licuan
Rustin Gierck,soup and sauce cook,all soups and sauce,Graz
Delmer Robbie,sweeper,cleaning and maintaining house,Lizi
Accenture,beautician,facewash cleanup makeup parlour,Panalanoy
